pilotId,portCode,portName,pilotName,pilotCode,pilotType,pilotClass,certificationLevel,experienceYears,maxVesselGT,maxVesselLOA,nightOperations,adverseWeather,canTrain,licenseIssueDate,licenseExpiryDate,status,languages,certifications,certificationsCount
28,SGSIN,Port of Singapore,Rajesh Ong,SGSIN-CP-2023-0028,Canal,Senior,Class A,21,150000,366,TRUE,TRUE,TRUE,2023-06-06,2026-01-09,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; High-Speed Craft; Ice Navigation; Naval Vessels; Tug and Tow Operations,12
29,SGSIN,Port of Singapore,Rajesh Chan,SGSIN-DS-2009-0029,Deep Sea,Class I,Unlimited,13,Unlimited,Unlimited,TRUE,TRUE,TRUE,2009-07-10,2028-07-03,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations; High-Speed Craft; Container Vessel (ULCV); STS Transfer Operations; Chemical Tanker Handling,12
30,SGSIN,Port of Singapore,Rajesh Wong,SGSIN-RP-2002-0030,River,Senior,Class A,26,150000,366,TRUE,TRUE,TRUE,2002-11-15,2030-03-13,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; VLCC/ULCC Handling; Chemical Tanker Handling; Automatic Radar Plotting Aid (ARPA); STCW Certificate,9
31,SGSIN,Port of Singapore,Rajesh Tan,SGSIN-RP-2016-0031,River,Class II,Class B,6,75000,300,TRUE,FALSE,FALSE,2016-03-23,2025-12-06,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; LPG Carrier Operations; ISPS Security Awareness; Medical First Aid; Global Maritime Distress Safety System (GMDSS),8
32,SGSIN,Port of Singapore,Arjun Tan,SGSIN-CP-2017-0032,Canal,Class III,Class D,3,20000,200,FALSE,FALSE,FALSE,2017-04-08,2027-04-03,Active,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; Car Carrier/RoRo,5
33,SGSIN,Port of Singapore,Suresh Lee,SGSIN-RP-2016-0033,River,Class I,Class A,16,150000,366,TRUE,TRUE,TRUE,2016-10-20,2027-03-28,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Tug and Tow Operations; Night Operations - All Vessels; Container Vessel (ULCV); Crisis Management; STCW Certificate,9
34,SGSIN,Port of Singapore,Chee Keong Teo,SGSIN-CP-1999-0034,Canal,Senior,Master Pilot,22,Unlimited,Unlimited,TRUE,TRUE,TRUE,1999-09-13,2030-05-02,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; Ice Navigation; Car Carrier/RoRo; Global Maritime Distress Safety System (GMDSS); ISPS Security Awareness,9
35,SGSIN,Port of Singapore,Arjun Goh,SGSIN-HP-2018-0035,Harbor,Senior,Unlimited,16,Unlimited,Unlimited,TRUE,TRUE,TRUE,2018-08-20,2030-09-25,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; LPG Carrier Operations; VLCC/ULCC Handling; Emergency Response; Offshore Support Vessels,11
36,SGSIN,Port of Singapore,Zhi Hao Tan,SGSIN-DS-2021-0036,Deep Sea,Senior,Unlimited,26,Unlimited,Unlimited,TRUE,TRUE,TRUE,2021-11-07,2029-12-18,On Leave,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; Naval Vessels; VLCC/ULCC Handling; LNG Carrier Operations; Global Maritime Distress Safety System (GMDSS),10
37,SGSIN,Port of Singapore,Arjun Goh,SGSIN-CP-2016-0037,Canal,Class II,Class A,5,150000,366,TRUE,TRUE,FALSE,2016-11-22,2030-07-27,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LPG Carrier Operations; Emergency Response; Chemical Tanker Handling; Offshore Support Vessels,7
38,SGSIN,Port of Singapore,Suresh Ong,SGSIN-CP-2020-0038,Canal,Class I,Master Pilot,20,Unlimited,Unlimited,TRUE,TRUE,TRUE,2020-11-19,2027-02-24,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Passenger Vessel; Restricted Visibility Operations; Car Carrier/RoRo; Dangerous Goods Vessels; Manned Model Training,10
39,SGSIN,Port of Singapore,Kai Wen Wong,SGSIN-RP-1994-0039,River,Class I,Unlimited,16,Unlimited,Unlimited,TRUE,TRUE,TRUE,1994-04-06,2030-01-21,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; LNG Carrier Operations; Chemical Tanker Handling; Car Carrier/RoRo; Emergency Response,11
40,SGSIN,Port of Singapore,Kumar Chan,SGSIN-RP-2023-0040,River,Class II,Class B,8,75000,300,TRUE,FALSE,FALSE,2023-06-28,2028-07-14,Active,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); LNG Carrier Operations; Manned Model Training; Global Maritime Distress Safety System (GMDSS); Crisis Management,8
41,SGSIN,Port of Singapore,Arjun Lee,SGSIN-RP-2017-0041,River,Junior,Class D,3,20000,200,FALSE,FALSE,FALSE,2017-11-16,2025-01-27,Active,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations,4
42,SGSIN,Port of Singapore,Rajesh Lee,SGSIN-HP-2022-0042,Harbor,Senior,Master Pilot,19,Unlimited,Unlimited,TRUE,TRUE,TRUE,2022-12-23,2025-08-08,Training,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; Car Carrier/RoRo; High-Speed Craft; LNG Carrier Operations; Bulk Carrier (Capesize),11
43,SGSIN,Port of Singapore,Wei Ming Teo,SGSIN-CP-2004-0043,Canal,Class I,Class A,18,150000,366,TRUE,TRUE,TRUE,2004-06-01,2028-01-26,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; Night Operations - All Vessels; Naval Vessels; Tug and Tow Operations; Offshore Support Vessels,12
44,SGSIN,Port of Singapore,Zhi Hao Chan,SGSIN-RP-2015-0044,River,Class II,Class B,9,75000,300,TRUE,FALSE,FALSE,2015-12-26,2030-09-03,On Leave,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Passenger Vessel; LPG Carrier Operations; Global Maritime Distress Safety System (GMDSS); ISPS Security Awareness; Bridge Resource Management (BRM),8
45,SGSIN,Port of Singapore,Rajesh Wong,SGSIN-DS-2001-0045,Deep Sea,Senior,Master Pilot,33,Unlimited,Unlimited,TRUE,TRUE,TRUE,2001-01-19,2026-10-02,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Heavy Weather Operations; Emergency Response; VLCC/ULCC Handling; Ice Navigation; Cruise Ship Operations,12
46,SGSIN,Port of Singapore,Chee Keong Lee,SGSIN-CP-1997-0046,Canal,Class II,Class B,6,75000,300,TRUE,FALSE,FALSE,1997-06-24,2028-06-25,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Passenger Vessel; Offshore Support Vessels; Bulk Carrier (Capesize); High-Speed Craft; Crisis Management,10
47,SGSIN,Port of Singapore,Rajesh Teo,SGSIN-CP-1994-0047,Canal,Class I,Unlimited,17,Unlimited,Unlimited,TRUE,TRUE,TRUE,1994-12-02,2027-02-19,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Restricted Visibility Operations; Offshore Support Vessels; STS Transfer Operations; High-Speed Craft; Bulk Carrier (Capesize),11
48,SGSIN,Port of Singapore,Kumar Teo,SGSIN-HP-1997-0048,Harbor,Junior,Class D,1,20000,200,FALSE,FALSE,FALSE,1997-07-01,2030-03-05,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Chemical Tanker Handling; Dangerous Goods Vessels,5
49,SGSIN,Port of Singapore,Kumar Wong,SGSIN-HP-2009-0049,Harbor,Class II,Class C,7,40000,250,TRUE,FALSE,FALSE,2009-10-07,2025-12-09,Training,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Passenger Vessel; Heavy Weather Operations; Manned Model Training; STCW Certificate; ISPS Security Awareness,8
50,SGSIN,Port of Singapore,Arjun Chan,SGSIN-CP-2012-0050,Canal,Senior,Unlimited,22,Unlimited,Unlimited,TRUE,TRUE,TRUE,2012-06-20,2026-12-15,Active,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); VLCC/ULCC Handling; Naval Vessels; Container Vessel (ULCV); High-Speed Craft; Port State Control Procedures,10
51,SGSIN,Port of Singapore,Arjun Chan,SGSIN-HP-1999-0051,Harbor,Class I,Class A,20,150000,366,TRUE,TRUE,TRUE,1999-07-06,2028-07-26,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); High-Speed Craft; Dangerous Goods Vessels; Naval Vessels; Ice Navigation; Environmental Compliance,10
52,SGSIN,Port of Singapore,Wei Ming Lim,SGSIN-HP-2017-0052,Harbor,Senior,Class A,20,150000,366,TRUE,TRUE,TRUE,2017-04-11,2027-03-21,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); LNG Carrier Operations; Emergency Response; Restricted Visibility Operations; High-Speed Craft; Port State Control Procedures,10
53,SGSIN,Port of Singapore,Anand Lee,SGSIN-HP-2023-0053,Harbor,Class I,Class B,11,75000,300,TRUE,FALSE,TRUE,2023-08-26,2026-03-19,Active,"English, Mandarin, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Tug and Tow Operations; Dangerous Goods Vessels; Emergency Response; Car Carrier/RoRo,11
54,SGSIN,Port of Singapore,Kai Wen Goh,SGSIN-HP-2002-0054,Harbor,Senior,Class A,24,150000,366,TRUE,TRUE,TRUE,2002-02-01,2030-01-19,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); STS Transfer Operations; LNG Carrier Operations; Tug and Tow Operations; Chemical Tanker Handling,12
55,SGSIN,Port of Singapore,Anand Tan,SGSIN-DS-2005-0055,Deep Sea,Senior,Unlimited,23,Unlimited,Unlimited,TRUE,TRUE,TRUE,2005-04-17,2029-10-03,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Night Operations - All Vessels; LNG Carrier Operations; Ice Navigation; Medical First Aid,10
56,SGSIN,Port of Singapore,Chee Keong Lee,SGSIN-RP-2000-0056,River,Class I,Unlimited,18,Unlimited,Unlimited,TRUE,TRUE,TRUE,2000-08-05,2027-01-11,Active,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Heavy Weather Operations; Car Carrier/RoRo; VLCC/ULCC Handling; Tug and Tow Operations,12
57,SGSIN,Port of Singapore,Kumar Wong,SGSIN-RP-2015-0057,River,Class I,Unlimited,19,Unlimited,Unlimited,TRUE,TRUE,TRUE,2015-11-28,2025-01-21,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Chemical Tanker Handling; Dangerous Goods Vessels; Offshore Support Vessels; Emergency Response,12
58,SGSIN,Port of Singapore,Kumar Wong,SGSIN-CP-2013-0058,Canal,Class II,Class C,11,40000,250,TRUE,FALSE,FALSE,2013-04-19,2030-08-25,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Cruise Ship Operations; LNG Carrier Operations; Dangerous Goods Vessels; Port State Control Procedures; STCW Certificate,9
59,SGSIN,Port of Singapore,Kumar Chua,SGSIN-CP-1992-0059,Canal,Class I,Class A,8,150000,366,TRUE,TRUE,TRUE,1992-06-05,2026-05-16,Active,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Naval Vessels; Car Carrier/RoRo; Bulk Carrier (Capesize); Automatic Radar Plotting Aid (ARPA); Port State Control Procedures,9
60,SGSIN,Port of Singapore,Kumar Goh,SGSIN-CP-2017-0060,Canal,Class II,Class A,7,150000,366,TRUE,TRUE,FALSE,2017-03-14,2028-06-21,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Passenger Vessel; STS Transfer Operations; Container Vessel (ULCV); Naval Vessels; Medical First Aid,10
61,SGSIN,Port of Singapore,Suresh Ng,SGSIN-HP-1998-0061,Harbor,Junior,Class C,3,40000,250,TRUE,FALSE,FALSE,1998-06-03,2030-02-24,Active,"English, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Offshore Support Vessels,4
62,SGSIN,Port of Singapore,Wei Ming Lee,SGSIN-RP-2024-0062,River,Junior,Class D,1,20000,200,FALSE,FALSE,FALSE,2024-11-01,2028-06-05,Active,"English, Malay, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Container Vessel (ULCV); Ice Navigation,5
63,SGSIN,Port of Singapore,Zhi Hao Chan,SGSIN-HP-1998-0063,Harbor,Class II,Class B,12,75000,300,TRUE,FALSE,FALSE,1998-03-07,2026-04-21,Active,"English, Tamil, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Emergency Response; Restricted Visibility Operations; STS Transfer Operations; Offshore Support Vessels; STCW Certificate,10
64,SGSIN,Port of Singapore,Suresh Tan,SGSIN-RP-1999-0064,River,Class I,Class A,19,150000,366,TRUE,TRUE,TRUE,1999-05-16,2028-05-23,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Ice Navigation; Chemical Tanker Handling; Night Operations - All Vessels; LPG Carrier Operations; Emergency Response,11
65,SGSIN,Port of Singapore,Kai Wen Lee,SGSIN-RP-1991-0065,River,Senior,Unlimited,14,Unlimited,Unlimited,TRUE,TRUE,TRUE,1991-12-09,2025-06-03,Training,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Car Carrier/RoRo; Tug and Tow Operations; Bulk Carrier (Capesize); VLCC/ULCC Handling; Medical First Aid,10
66,SGSIN,Port of Singapore,Wei Ming Ong,SGSIN-HP-2006-0066,Harbor,Senior,Unlimited,19,Unlimited,Unlimited,TRUE,TRUE,TRUE,2006-07-22,2028-06-24,On Leave,"English, Malay, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Dangerous Goods Vessels; Chemical Tanker Handling; Bulk Carrier (Capesize); Offshore Support Vessels; Container Vessel (ULCV),12
67,SGSIN,Port of Singapore,Kai Wen Goh,SGSIN-DS-2018-0067,Deep Sea,Senior,Unlimited,28,Unlimited,Unlimited,TRUE,TRUE,TRUE,2018-07-02,2027-10-08,Active,"English, Tamil, Mandarin",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); VLCC/ULCC Handling; Offshore Support Vessels; Naval Vessels; Night Operations - All Vessels,12
68,SGSIN,Port of Singapore,Arjun Goh,SGSIN-HP-2020-0068,Harbor,Class I,Master Pilot,17,Unlimited,Unlimited,TRUE,TRUE,TRUE,2020-11-19,2025-05-05,Active,"English, Malay",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Bulk Carrier (Capesize); Night Operations - All Vessels; Passenger Vessel; Crisis Management; ISPS Security Awareness,9
69,SGSIN,Port of Singapore,Kai Wen Ng,SGSIN-CP-2002-0069,Canal,Class II,Class A,4,150000,366,TRUE,TRUE,FALSE,2002-10-25,2028-04-18,Active,"English, Mandarin, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; LNG Carrier Operations,5
70,SGSIN,Port of Singapore,Wei Ming Lee,SGSIN-HP-2007-0070,Harbor,Class I,Class A,19,150000,366,TRUE,TRUE,TRUE,2007-05-06,2030-08-06,Active,"English, Tamil",STCW Certificate; Bridge Resource Management (BRM); Electronic Chart Display (ECDIS); Night Operations - All Vessels; LPG Carrier Operations; VLCC/ULCC Handling; Chemical Tanker Handling; Ship Handling Simulator Training,10
